prediction;test_price
27.91;28.78
28.22;28.81
28.38;28.14
28.37;28.2
28.01;28.74
27.89;29.0
28.11;28.63
28.45;28.29
28.31;28.28
28.25;28.16
28.1;27.78
28.07;27.72
27.79;27.16
27.66;27.18
27.21;26.64
26.97;26.31
26.59;26.76
26.19;26.45
26.43;26.48
26.29;26.04
26.38;26.02
26.18;25.1
26.1;24.87
25.31;24.53
24.98;24.88
24.68;25.5
24.66;25.02
24.97;25.62
24.79;25.12
25.09;25.66
25.01;26.03
25.21;26.75
25.65;26.96
26.1;26.23
26.37;27.48
26.19;27.67
26.57;28.02
26.85;27.85
27.31;27.94
27.33;28.6
27.42;28.19
27.86;28.34
27.84;28.08
27.74;28.42
27.74;28.15
27.96;28.41
27.83;28.69
27.74;28.69
27.97;28.88
28.04;28.39
28.32;28.27
28.28;28.27
28.14;27.8
28.21;27.6
28.0;27.26
27.65;26.83
27.33;26.57
26.97;27.21
26.46;27.4
26.73;27.33
26.97;26.85
26.98;26.57
26.62;27.67
26.4;27.25
26.96;27.83
26.85;27.95
27.44;27.99
27.38;27.71
27.45;27.37
27.25;27.04
27.04;27.37
26.6;27.84
26.67;27.53
27.07;27.51
26.94;27.25
27.04;27.5
26.89;27.1
27.05;26.91
26.72;27.35
26.6;26.33
26.81;26.21
26.23;26.11
26.14;26.45
25.89;26.85
26.14;27.33
26.64;27.44
27.14;27.3
27.42;27.6
27.38;27.86
27.52;28.23
27.72;28.29
27.94;28.58
27.92;28.29
28.17;29.05
28.07;29.22
28.53;29.04
28.82;29.42
28.77;30.27
29.07;30.15
29.62;29.92
29.68;30.33
29.69;29.95
29.72;30.36
29.43;30.52
29.66;30.45
29.92;30.29
29.79;29.74
29.83;29.36
29.32;29.32
28.81;28.99
28.79;29.35
28.56;29.54
28.8;29.49
28.93;29.31
29.05;29.05
28.85;28.95
28.79;29.97
28.8;30.09
29.2;28.8
29.53;28.95
28.94;29.51
28.78;29.02
29.04;29.0
29.04;29.6
28.83;29.36
29.26;28.88
29.25;28.74
28.86;28.69
28.62;27.86
28.41;28.26
27.86;28.11
28.07;28.34
28.03;27.51
28.16;27.54
27.7;27.22
27.53;27.09
27.21;26.79
26.97;26.96
26.79;26.24
26.86;26.13
26.09;25.77
25.87;25.82
25.59;25.47
25.33;25.39
25.31;25.67
25.23;26.55
25.25;27.22
25.95;26.96
26.63;26.6
26.59;26.53
26.37;27.17
26.29;27.06
26.57;27.13
26.52;26.61
26.64;26.97
26.42;27.63
26.44;26.48
26.85;26.24
26.45;26.49
26.09;27.31
26.21;27.41
26.76;26.97
27.01;27.94
26.8;28.61
27.3;28.06
27.89;27.69
27.64;28.2
27.47;28.35
